,size,cuda-1,cuda-2,cuda-4,cuda-8,cuda-16,cuda-32,omp-target-1,omp-target-2,omp-target-4,omp-target-8,omp-target-16,omp-target-32
180,1703416.0,707.974,266.674,135.57,92.4001,82.8114,53.7358,619.244,249.569,131.788,92.8218,85.2201,62.3514
181,1825676.0,720.6,266.86,135.897,92.8112,83.4991,55.4443,628.578,250.507,132.263,92.6107,84.3686,59.2092
182,1956712.0,718.905,267.282,135.972,92.5028,83.2785,56.8567,636.286,252.634,132.699,93.1693,85.769,58.043
183,2097152.0,724.433,268.092,135.907,92.4142,82.741,55.7151,644.452,254.073,133.128,93.2905,86.344,61.0577
184,2247671.0,727.628,268.903,136.313,92.4554,82.0027,58.1087,650.695,255.772,133.617,93.7427,85.5038,60.2936
185,2408995.0,734.064,269.43,136.345,92.5731,81.5124,53.9437,656.245,256.367,133.85,93.8975,85.9116,61.1032
186,2581896.0,738.237,269.948,136.613,92.366,82.8887,53.8687,664.335,258.126,134.234,93.9197,85.872,58.7754
187,2767208.0,739.434,269.975,136.59,92.5235,83.7106,54.5862,667.317,258.513,134.412,93.938,86.5011,59.6691
188,2965820.0,740.084,270.593,136.589,92.2261,81.743,53.7357,677.856,259.537,134.629,94.1608,87.0587,65.2572
189,3178688.0,744.694,270.456,136.688,92.3886,83.4098,55.1576,683.593,260.568,135.185,94.3655,87.4947,60.9182
190,3406833.0,744.19,270.941,136.863,92.3319,81.4048,55.726,690.725,261.244,135.21,94.4881,87.3553,62.5854
191,3651353.0,747.207,270.118,136.772,92.4685,83.252,51.3275,697.804,261.744,135.34,94.4498,86.8566,62.2094
192,3913424.0,750.787,271.602,136.846,92.5781,82.7856,53.0232,700.038,262.571,135.614,94.5938,87.387,62.8001
193,4194304.0,752.304,271.914,137.065,92.4708,81.7788,54.6207,705.215,263.423,135.815,94.7554,87.6015,69.7894
194,4495343.0,756.051,271.872,137.166,92.1917,81.9985,52.5455,710.813,264.902,136.157,94.4589,87.2468,60.9625
195,4817990.0,755.619,272.657,137.108,92.2411,82.4973,51.2429,715.822,264.117,136.274,94.1536,87.7451,61.2756
196,5163793.0,757.65,272.271,137.222,92.1134,82.0887,49.8499,718.765,265.663,136.466,94.144,87.0741,62.5696
197,5534417.0,760.319,272.002,137.015,92.0415,82.6514,52.8378,723.644,265.785,136.666,94.2112,88.0039,58.249
198,5931641.0,760.744,272.63,136.579,92.1329,82.4928,51.0594,727.461,266.532,136.729,94.4321,87.9439,60.6713
199,6357376.0,762.806,273.203,136.715,92.003,82.6598,52.2153,730.384,267.637,136.876,94.5565,87.8557,59.7628
200,6813666.0,764.397,272.652,136.65,92.24,82.4397,50.3498,732.583,267.308,136.991,94.5226,88.2046,59.9062
201,7302707.0,765.514,272.756,136.681,92.0299,82.2706,51.3895,737.033,267.751,137.081,94.7091,86.99,58.5769
202,7826848.0,768.578,272.749,136.656,91.9592,82.905,48.2386,739.659,268.217,137.19,94.6308,87.9315,61.5547
203,8388608.0,766.683,272.778,136.615,92.0435,82.7123,48.4775,743.593,268.978,137.251,94.7345,88.6028,61.3534
204,8990687.0,771.29,273.1,136.622,92.1687,83.3552,48.7804,744.505,269.565,137.395,94.8249,87.9614,59.6856
205,9635980.0,771.289,273.11,136.562,91.8392,81.2667,50.219,746.992,269.885,137.442,94.8281,88.5198,63.8914
